id_filmu	id_aktora	kategoria
85_F	198_A	najlepsza aktorka pierwszoplanowa
86_F	54_A	najlepsza aktorka pierwszoplanowa
86_F	103_A	najlepszy aktor pierwszoplanowy
87_F	64_A	najlepszy aktor pierwszoplanowy
87_F	94_A	najlepszy aktor drugoplanowy
88_F	36_A	najlepszy aktor drugoplanowy
89_F	93_A	najlepszy aktor pierwszoplanowy
90_F	250_A	najlepsza aktorka drugoplanowa
91_F	109_A	najlepszy aktor drugoplanowy
92_F	12_A	najlepsza aktorka drugoplanowa
92_F	68_A	najlepsza aktorka pierwszoplanowa
93_F	288_A	najlepsza aktorka pierwszoplanowa
94_F	125_A	najlepszy aktor drugoplanowy
95_F	223_A	najlepsza aktorka drugoplanowa
95_F	227_A	najlepszy aktor drugoplanowy
96_F	114_A	najlepszy aktor drugoplanowy
96_F	191_A	najlepsza aktorka pierwszoplanowa
97_F	181_A	najlepszy aktor pierwszoplanowy
98_F	34_A	najlepszy aktor drugoplanowy
99_F	231_A	najlepsza aktorka pierwszoplanowa
100_F	97_A	najlepsza aktorka pierwszoplanowa
101_F	217_A	najlepsza aktorka pierwszoplanowa
102_F	5_A	najlepszy aktor drugoplanowy
103_F	199_A	najlepszy aktor pierwszoplanowy
104_F	213_A	najlepsza aktorka drugoplanowa
105_F	269_A	najlepsza aktorka drugoplanowa
106_F	38_A	najlepszy aktor pierwszoplanowy
107_F	192_A	najlepsza aktorka pierwszoplanowa
108_F	77_A	najlepsza aktorka drugoplanowa
108_F	264_A	najlepsza aktorka pierwszoplanowa
109_F	68_A	najlepsza aktorka pierwszoplanowa
110_F	290_A	najlepsza aktorka drugoplanowa
111_F	258_A	najlepsza aktorka pierwszoplanowa
112_F	283_A	najlepsza aktorka pierwszoplanowa
113_F	137_A	najlepsza aktorka pierwszoplanowa
113_F	200_A	najlepszy aktor pierwszoplanowy
114_F	121_A	najlepsza aktorka drugoplanowa
115_F	127_A	najlepsza aktorka pierwszoplanowa
116_F	71_A	najlepszy aktor pierwszoplanowy
117_F	95_A	najlepsza aktorka pierwszoplanowa
117_F	200_A	najlepszy aktor pierwszoplanowy
118_F	275_A	najlepszy aktor drugoplanowy
119_F	7_A	najlepszy aktor drugoplanowy
120_F	2_A	najlepszy aktor pierwszoplanowy
121_F	31_A	najlepszy aktor pierwszoplanowy
122_F	6_A	najlepsza aktorka pierwszoplanowa
123_F	173_A	najlepsza aktorka pierwszoplanowa
124_F	255_A	najlepsza aktorka drugoplanowa
125_F	268_A	najlepszy aktor pierwszoplanowy
126_F	262_A	najlepsza aktorka drugoplanowa
127_F	91_A	najlepsza aktorka pierwszoplanowa
128_F	245_A	najlepsza aktorka pierwszoplanowa
129_F	99_A	najlepsza aktorka pierwszoplanowa
129_F	133_A	najlepszy aktor pierwszoplanowy
130_F	62_A	najlepsza aktorka pierwszoplanowa
131_F	146_A	najlepsza aktorka pierwszoplanowa
132_F	82_A	najlepsza aktorka pierwszoplanowa
133_F	20_A	najlepsza aktorka pierwszoplanowa
134_F	170_A	najlepszy aktor drugoplanowy
135_F	267_A	najlepsza aktorka drugoplanowa
136_F	71_A	najlepszy aktor pierwszoplanowy
136_F	102_A	najlepsza aktorka drugoplanowa
137_F	265_A	najlepsza aktorka pierwszoplanowa
138_F	4_A	najlepszy aktor drugoplanowy
139_F	25_A	najlepsza aktorka drugoplanowa
140_F	116_A	najlepszy aktor pierwszoplanowy
141_F	236_A	najlepszy aktor drugoplanowy
142_F	124_A	najlepsza aktorka drugoplanowa
143_F	167_A	najlepszy aktor drugoplanowy
144_F	120_A	najlepszy aktor pierwszoplanowy
145_F	33_A	najlepszy aktor pierwszoplanowy
145_F	180_A	najlepsza aktorka drugoplanowa
146_F	272_A	najlepsza aktorka drugoplanowa
147_F	96_A	najlepszy aktor pierwszoplanowy
147_F	127_A	najlepsza aktorka pierwszoplanowa
148_F	179_A	najlepszy aktor pierwszoplanowy
148_F	234_A	najlepszy aktor drugoplanowy
149_F	72_A	najlepsza aktorka pierwszoplanowa
150_F	17_A	najlepsza aktorka drugoplanowa
151_F	60_A	najlepsza aktorka pierwszoplanowa
152_F	261_A	najlepsza aktorka pierwszoplanowa
153_F	57_A	najlepszy aktor drugoplanowy
154_F	156_A	najlepszy aktor drugoplanowy
155_F	91_A	najlepsza aktorka pierwszoplanowa
156_F	215_A	najlepszy aktor pierwszoplanowy
157_F	170_A	najlepszy aktor pierwszoplanowy
158_F	111_A	najlepszy aktor drugoplanowy
159_F	33_A	najlepszy aktor pierwszoplanowy
160_F	73_A	najlepszy aktor drugoplanowy
161_F	293_A	najlepsza aktorka drugoplanowa
162_F	99_A	najlepsza aktorka pierwszoplanowa
163_F	129_A	najlepsza aktorka drugoplanowa
163_F	202_A	najlepszy aktor pierwszoplanowy
164_F	280_A	najlepszy aktor pierwszoplanowy
165_F	148_A	najlepszy aktor pierwszoplanowy
166_F	149_A	najlepszy aktor drugoplanowy
166_F	166_A	najlepsza aktorka drugoplanowa
167_F	21_A	najlepsza aktorka drugoplanowa
168_F	242_A	najlepszy aktor pierwszoplanowy
169_F	284_A	najlepsza aktorka drugoplanowa
170_F	104_A	najlepsza aktorka pierwszoplanowa
170_F	287_A	najlepsza aktorka drugoplanowa
171_F	206_A	najlepsza aktorka drugoplanowa
172_F	221_A	najlepszy aktor drugoplanowy
173_F	196_A	najlepszy aktor pierwszoplanowy
174_F	43_A	najlepszy aktor pierwszoplanowy
175_F	248_A	najlepsza aktorka pierwszoplanowa
176_F	37_A	najlepszy aktor pierwszoplanowy
177_F	112_A	najlepsza aktorka drugoplanowa
178_F	56_A	najlepsza aktorka drugoplanowa
179_F	151_A	najlepsza aktorka pierwszoplanowa
180_F	178_A	najlepsza aktorka drugoplanowa
181_F	70_A	najlepsza aktorka drugoplanowa
182_F	141_A	najlepszy aktor pierwszoplanowy
183_F	89_A	najlepszy aktor pierwszoplanowy
184_F	252_A	najlepszy aktor drugoplanowy
185_F	98_A	najlepsza aktorka pierwszoplanowa
186_F	208_A	najlepsza aktorka pierwszoplanowa
187_F	10_A	najlepsza aktorka drugoplanowa
188_F	55_A	najlepszy aktor pierwszoplanowy
189_F	163_A	najlepsza aktorka pierwszoplanowa
190_F	237_A	najlepszy aktor drugoplanowy
191_F	105_A	najlepsza aktorka drugoplanowa
192_F	219_A	najlepszy aktor pierwszoplanowy
193_F	165_A	najlepsza aktorka pierwszoplanowa
194_F	127_A	najlepsza aktorka pierwszoplanowa
195_F	122_A	najlepsza aktorka drugoplanowa
196_F	188_A	najlepszy aktor pierwszoplanowy
197_F	97_A	najlepsza aktorka pierwszoplanowa
197_F	274_A	najlepszy aktor pierwszoplanowy
198_F	266_A	najlepsza aktorka pierwszoplanowa
199_F	278_A	najlepszy aktor pierwszoplanowy
200_F	34_A	najlepszy aktor drugoplanowy
201_F	40_A	najlepszy aktor drugoplanowy
202_F	53_A	najlepszy aktor drugoplanowy
203_F	164_A	najlepszy aktor pierwszoplanowy
204_F	239_A	najlepsza aktorka pierwszoplanowa
205_F	169_A	najlepsza aktorka pierwszoplanowa
205_F	186_A	najlepsza aktorka drugoplanowa
206_F	150_A	najlepsza aktorka drugoplanowa
207_F	69_A	najlepsza aktorka drugoplanowa
208_F	130_A	najlepszy aktor pierwszoplanowy
209_F	100_A	najlepszy aktor pierwszoplanowy
210_F	138_A	najlepsza aktorka drugoplanowa
211_F	244_A	najlepsza aktorka pierwszoplanowa
212_F	159_A	najlepszy aktor drugoplanowy
213_F	228_A	najlepszy aktor drugoplanowy
213_F	215_A	najlepszy aktor pierwszoplanowy
214_F	126_A	najlepsza aktorka pierwszoplanowa
215_F	42_A	najlepszy aktor drugoplanowy
215_F	270_A	najlepsza aktorka drugoplanowa
216_F	168_A	najlepszy aktor drugoplanowy
217_F	87_A	najlepsza aktorka pierwszoplanowa
217_F	259_A	najlepsza aktorka drugoplanowa
218_F	92_A	najlepszy aktor pierwszoplanowy
219_F	59_A	najlepszy aktor pierwszoplanowy
220_F	143_A	najlepszy aktor drugoplanowy
221_F	23_A	najlepszy aktor drugoplanowy
222_F	253_A	najlepsza aktorka drugoplanowa
223_F	285_A	najlepsza aktorka pierwszoplanowa
224_F	271_A	najlepszy aktor drugoplanowy
225_F	130_A	najlepszy aktor pierwszoplanowy
225_F	260_A	najlepsza aktorka drugoplanowa
226_F	225_A	najlepsza aktorka drugoplanowa
226_F	247_A	najlepszy aktor drugoplanowy
227_F	131_A	najlepszy aktor pierwszoplanowy
228_F	194_A	najlepsza aktorka pierwszoplanowa
229_F	189_A	najlepszy aktor pierwszoplanowy
230_F	174_A	najlepszy aktor pierwszoplanowy
231_F	281_A	najlepsza aktorka drugoplanowa
232_F	248_A	najlepsza aktorka drugoplanowa
233_F	209_A	najlepszy aktor drugoplanowy
234_F	51_A	najlepszy aktor drugoplanowy
235_F	35_A	najlepszy aktor pierwszoplanowy
236_F	113_A	najlepsza aktorka drugoplanowa
237_F	183_A	najlepszy aktor drugoplanowy
238_F	19_A	najlepsza aktorka drugoplanowa
239_F	176_A	najlepsza aktorka pierwszoplanowa
240_F	224_A	najlepszy aktor pierwszoplanowy
241_F	3_A	najlepszy aktor drugoplanowy
242_F	16_A	najlepszy aktor drugoplanowy
243_F	162_A	najlepsza aktorka drugoplanowa
244_F	271_A	najlepszy aktor drugoplanowy
245_F	75_A	najlepszy aktor drugoplanowy
246_F	140_A	najlepsza aktorka drugoplanowa
246_F	169_A	najlepsza aktorka pierwszoplanowa
246_F	177_A	najlepszy aktor drugoplanowy
247_F	286_A	najlepsza aktorka pierwszoplanowa
248_F	14_A	najlepszy aktor drugoplanowy
249_F	106_A	najlepsza aktorka pierwszoplanowa
250_F	108_A	najlepsza aktorka drugoplanowa
251_F	66_A	najlepsza aktorka drugoplanowa
252_F	221_A	najlepszy aktor drugoplanowy
253_F	284_A	najlepsza aktorka drugoplanowa
254_F	134_A	najlepszy aktor drugoplanowy
255_F	59_A	najlepszy aktor pierwszoplanowy
256_F	22_A	najlepszy aktor pierwszoplanowy
257_F	32_A	najlepsza aktorka drugoplanowa
258_F	256_A	najlepszy aktor pierwszoplanowy
259_F	81_A	najlepszy aktor pierwszoplanowy
260_F	46_A	najlepszy aktor drugoplanowy
261_F	52_A	najlepszy aktor drugoplanowy
262_F	48_A	najlepszy aktor drugoplanowy
262_F	195_A	najlepsza aktorka drugoplanowa
263_F	246_A	najlepszy aktor drugoplanowy
264_F	226_A	najlepsza aktorka drugoplanowa
265_F	39_A	najlepsza aktorka pierwszoplanowa
266_F	222_A	najlepsza aktorka pierwszoplanowa
267_F	11_A	najlepsza aktorka drugoplanowa
268_F	279_A	najlepsza aktorka drugoplanowa
269_F	172_A	najlepszy aktor drugoplanowy
270_F	185_A	najlepszy aktor pierwszoplanowy
271_F	18_A	najlepszy aktor pierwszoplanowy
272_F	263_A	najlepsza aktorka pierwszoplanowa
273_F	49_A	najlepsza aktorka pierwszoplanowa
273_F	85_A	najlepsza aktorka drugoplanowa
274_F	30_A	najlepsza aktorka pierwszoplanowa
275_F	73_A	najlepszy aktor pierwszoplanowy
276_F	227_A	najlepszy aktor drugoplanowy
277_F	238_A	najlepszy aktor drugoplanowy
278_F	260_A	najlepsza aktorka pierwszoplanowa
279_F	240_A	najlepszy aktor pierwszoplanowy
280_F	80_A	najlepszy aktor drugoplanowy
281_F	292_A	najlepsza aktorka drugoplanowa
282_F	45_A	najlepszy aktor pierwszoplanowy
283_F	147_A	najlepszy aktor drugoplanowy
284_F	235_A	najlepsza aktorka drugoplanowa
285_F	101_A	najlepszy aktor drugoplanowy
285_F	261_A	najlepsza aktorka pierwszoplanowa
286_F	214_A	najlepszy aktor pierwszoplanowy
287_F	146_A	najlepsza aktorka pierwszoplanowa
288_F	76_A	najlepsza aktorka drugoplanowa
288_F	210_A	najlepsza aktorka pierwszoplanowa
289_F	207_A	najlepszy aktor pierwszoplanowy
290_F	79_A	najlepszy aktor pierwszoplanowy
291_F	260_A	najlepsza aktorka pierwszoplanowa
292_F	127_A	najlepsza aktorka pierwszoplanowa
293_F	63_A	najlepszy aktor drugoplanowy
294_F	222_A	najlepsza aktorka pierwszoplanowa
295_F	78_A	najlepszy aktor pierwszoplanowy
296_F	203_A	najlepsza aktorka drugoplanowa
297_F	44_A	najlepszy aktor pierwszoplanowy
298_F	144_A	najlepszy aktor drugoplanowy
299_F	241_A	najlepszy aktor drugoplanowy
300_F	24_A	najlepszy aktor pierwszoplanowy
