id_aktora	imie	nazwisko	data_ur	kraj_urodzenia
207_A	Al	Pacino	1940-04-25	Stany Zjednoczone
208_A	Geraldine	Page	1924-10-22	Stany Zjednoczone
209_A	Jack	Palance	1919-02-18	Stany Zjednoczone
21_A	Anne	Baxter	1923-05-07	Stany Zjednoczone
210_A	Gwyneth	Paltrow	1972-09-27	Stany Zjednoczone
211_A	Anna	Paquin	1982-07-24	Kanada
212_A	Estelle	Parsons	1927-10-20	Stany Zjednoczone
213_A	Katina	Paxinou	1900-12-17	Grecja
214_A	Gregory	Peck	1916-04-05	Stany Zjednoczone
215_A	Sean	Penn	1960-08-17	Stany Zjednoczone
216_A	Joe	Pesci	1943-02-09	Stany Zjednoczone
217_A	Mary	Pickford	1892-04-08	Kanada
218_A	Christopher	Plummer	1929-12-13	Kanada
219_A	Sidney	Poitier	1927-02-20	Stany Zjednoczone
22_A	Warner	Baxter	1889-03-29	Stany Zjednoczone
220_A	Natalie	Portman	1981-06-09	Stany Zjednoczone
221_A	Anthony	Quinn	1915-04-21	Meksyk
222_A	Luise	Rainer	1910-01-12	Niemcy
223_A	Vanessa	Redgrave	1937-01-30	Wielkia Brytania
224_A	Eddie	Redmayne	1982-01-06	Wielkia Brytania
225_A	Donna	Reed	1921-01-27	Stany Zjednoczone
226_A	Anne	Revere	1903-06-25	Stany Zjednoczone
227_A	Jason	Robards	1922-07-26	Stany Zjednoczone
228_A	Tim	Robbins	1958-11-16	Stany Zjednoczone
229_A	Julia	Roberts	1967-11-28	Stany Zjednoczone
23_A	Ed	Begley	1949-09-16	Stany Zjednoczone
230_A	Cliff	Robertson	1923-09-09	Stany Zjednoczone
231_A	Ginger	Rogers	1911-07-16	Stany Zjednoczone
232_A	Mercedes	Ruehl	1948-02-28	Stany Zjednoczone
233_A	Geoffrey	Rush	1951-07-06	Australia
234_A	Harold	Russell	1914-01-14	Kanada
235_A	Margaret	Rutherford	1892-05-11	Wielkia Brytania
236_A	Mark	Rylance	1960-01-18	Wielkia Brytania
237_A	Haing	Ngor	1940-03-22	Stany Zjednoczone
238_A	George	Sanders	1906-07-03	Rosja
239_A	Susan	Sarandon	1946-11-04	Stany Zjednoczone
24_A	Roberto	Benigni	1952-11-27	Wlochy
240_A	Maximilian	Schell	1930-12-08	Australia
241_A	Joseph	Schildkraut	1896-03-22	Australia
242_A	Paul	Scofield	1922-01-21	Wielkia Brytania
243_A	Philip	Seymour Hoffman	1967-07-23	Stany Zjednoczone
244_A	Norma	Shearer	1902-08-10	Kanada
245_A	Simone	Signoret	1921-03-25	Niemcy
246_A	J.K.	Simmons	1955-01-09	Stany Zjednoczone
247_A	Frank	Sinatra	1915-12-12	Stany Zjednoczone
248_A	Maggie	Smith	1934-12-28	Wielkia Brytania
249_A	Gale	Sondergaard	1899-02-15	Stany Zjednoczone
25_A	Ingrid	Bergman	1915-08-29	Szwecja
250_A	Mira	Sorvino	1967-09-28	Stany Zjednoczone
251_A	Sissy	Spacek	1949-12-25	Stany Zjednoczone
252_A	Kevin	Spacey	1959-07-26	Stany Zjednoczone
253_A	Octavia	Spencer	1970-05-25	Stany Zjednoczone
254_A	Maureen	Stapleton	1925-06-21	Stany Zjednoczone
255_A	Mary	Steenburgen	1953-02-08	Stany Zjednoczone
256_A	Rod	Steiger	1925-04-14	Stany Zjednoczone
257_A	James	Stewart	1908-05-20	Stany Zjednoczone
258_A	Emma	Stone	1988-10-06	Stany Zjednoczone
259_A	Beatrice	Straight	1914-08-02	Stany Zjednoczone
26_A	Halle	Berry	1966-08-14	Stany Zjednoczone
260_A	Meryl	Streep	1949-06-22	Stany Zjednoczone
261_A	Hilary	Swank	1974-07-30	Stany Zjednoczone
262_A	Tilda	Swinton	1960-10-05	Wielkia Brytania
263_A	Jessica	Tandy	1909-06-07	Stany Zjednoczone
264_A	Elizabeth	Taylor	1932-02-27	Wielkia Brytania
265_A	Charlize	Theron	1975-08-07	RPA
266_A	Emma	Thompson	1959-04-15	Kanada
267_A	Marisa	Tomei	1964-12-04	Stany Zjednoczone
268_A	Spencer	Tracy	1900-04-05	Stany Zjednoczone
269_A	Claire	Trevor	1910-03-08	Stany Zjednoczone
27_A	Juliette	Binoche	1964-03-09	Francja
270_A	Miyoshi	Umeki	1929-05-08	Japonia
271_A	Peter	Ustinov	1921-04-16	Wielkia Brytania
272_A	Jo	Van Fleet	1915-12-29	Stany Zjednoczone
273_A	Alicia	Vikander	1988-11-03	Szwecja
274_A	Jon	Voight	1938-12-29	Stany Zjednoczone
275_A	Christopher	Walken	1943-03-31	Stany Zjednoczone
276_A	Christoph	Waltz	1956-11-04	Australia
277_A	Denzel	Washington	1954-12-28	Stany Zjednoczone
278_A	John	Wayne	1907-05-26	Stany Zjednoczone
279_A	Rachel	Weisz	1970-03-07	Wielkia Brytania
28_A	Cate	Blanchett	1969-05-14	Australia
280_A	Forest	Whitaker	1961-07-15	Stany Zjednoczone
281_A	Dianne	Wiest	1948-03-28	Stany Zjednoczone
282_A	Robin	Williams	1951-07-21	Stany Zjednoczone
283_A	Kate	Winslet	1975-11-05	Wielkia Brytania
284_A	Shelley	Winters	1920-08-18	Stany Zjednoczone
285_A	Reese	Witherspoon	1976-03-22	Stany Zjednoczone
286_A	Joanne	Woodward	1930-02-27	Stany Zjednoczone
287_A	Teresa	Wright	1918-11-27	Stany Zjednoczone
288_A	Jane	Wyman	1917-01-05	Stany Zjednoczone
289_A	Gig	Young	1913-10-04	Stany Zjednoczone
29_A	Humphrey	Bogart	1899-12-25	Stany Zjednoczone
290_A	Goldie	Young	1945-11-21	Stany Zjednoczone
291_A	Loretta	Young	1913-01-06	Stany Zjednoczone
292_A	Renee	Zellweger	1969-04-25	Stany Zjednoczone
293_A	Catherine	Zet	1969-09-25	Stany Zjednoczone
3_A	Jack	Albertson	1907-06-16	Stany Zjednoczone
30_A	Shirley	Booth	1898-08-30	Stany Zjednoczone
31_A	Ernest	Borgnine	1917-01-24	Stany Zjednoczone
32_A	Alice	Brady	1892-10-02	Stany Zjednoczone
33_A	Marlon	Brando	1924-04-03	Stany Zjednoczone
34_A	Walter	Brennan	1894-07-25	Stany Zjednoczone
35_A	Jeff	Bridges	1949-12-04	Stany Zjednoczone
36_A	Jim	Broadbent	1949-05-24	Wielkia Brytania
37_A	Adrien	Brody	1973-04-14	Stany Zjednoczone
38_A	Yul	Brynner	1920-07-11	Rosja
39_A	Sandra	Bullock	1964-07-26	Stany Zjednoczone
4_A	Mahershala	Ali	1974-02-16	Stany Zjednoczone
40_A	George	Burns	1896-01-20	Stany Zjednoczone
41_A	Ellen	Burstyn	1932-12-07	Stany Zjednoczone
42_A	Red	Buttons	1919-02-05	Stany Zjednoczone
43_A	George 	Scott	1927-11-18	Stany Zjednoczone
44_A	Nicolas	Cage	1964-01-07	Stany Zjednoczone
45_A	James	Cagney	1899-07-17	Stany Zjednoczone
46_A	Michael	Caine	1933-03-14	Wielkia Brytania
47_A	Art	Carney	1918-10-04	Stany Zjednoczone
48_A	George	Chakiris	1934-09-16	Stany Zjednoczone
49_A	Cher	Cher	1946-05-20	Stany Zjednoczone
5_A	Don	Ameche	1908-05-31	Stany Zjednoczone
50_A	Julie	Christie	1940-04-14	Indie
51_A	George	Clooney	1961-05-06	Stany Zjednoczone
52_A	Charles	Coburn	1877-06-19	Stany Zjednoczone
53_A	James	Coburn	1928-08-31	Stany Zjednoczone
54_A	Claudette	Colbert	1903-09-13	Francja
55_A	Ronald	Colman	1891-02-09	Stany Zjednoczone
56_A	Jennifer	Connelly	1970-12-12	Stany Zjednoczone
57_A	Sean	Connery	1930-08-25	Szkocja
58_A	Chris	Cooper	1951-07-09	Stany Zjednoczone
59_A	Gary	Cooper	1901-05-07	Stany Zjednoczone
6_A	Julie	Andrews	1935-11-01	Stany Zjednoczone
60_A	Marion	Cotillard	1975-09-30	Francja
61_A	Broderick	Crawford	1911-12-09	Stany Zjednoczone
62_A	Joan	Crawford	1904-03-23	Stany Zjednoczone
63_A	Donald	Crisp	1882-07-27	Stany Zjednoczone
64_A	Bing	Crosby	1903-05-03	Stany Zjednoczone
65_A	Russell	Crowe	1964-04-07	Stany Zjednoczone
66_A	Penenope	Cruz	1974-04-28	Hiszpania
67_A	Jane	Darwell	1879-11-15	Stany Zjednoczone
68_A	Bette	Davis	1908-04-05	Stany Zjednoczone
69_A	Geena	Davis	1956-01-21	Stany Zjednoczone
7_A	Alan	Arkin	1934-03-26	Stany Zjednoczone
70_A	Viola	Davis	1965-08-11	Stany Zjednoczone
71_A	Daniel	Day-Lewis	1957-04-29	Wielkia Brytania
72_A	Olivia	de Havilland	1916-07-01	Japonia
73_A	Robert	De Niro	1943-08-17	Stany Zjednoczone
75_A	Benicio	Del Toro	1967-02-19	Portoryko
76_A	Judi	Dench	1934-12-09	Wielkia Brytania
77_A	Sandy	Dennis	1937-04-27	Stany Zjednoczone
78_A	Leonardo	DiCaprio	1974-10-11	Stany Zjednoczone
79_A	Robert	Donat	1905-03-18	Stany Zjednoczone
8_A	George	Arliss	1868-04-10	Wielkia Brytania
80_A	Melvyn	Douglas	1901-04-05	Stany Zjednoczone
81_A	Michael	Douglas	1944-09-25	Stany Zjednoczone
82_A	Marie	Dressler	1868-10-09	Kanada
83_A	Richard	Dreyfuss	1947-11-29	Stany Zjednoczone
84_A	Jean	Dujardin	1972-06-19	Francja
85_A	Olympia	Dukakis	1931-06-20	Stany Zjednoczone
86_A	Patty	Duke	1946-12-14	Stany Zjednoczone
87_A	Faye	Dunaway	1941-01-14	Stany Zjednoczone
88_A	James	Dunn	1901-10-02	Stany Zjednoczone
89_A	Robert	Duvall	1931-01-05	Stany Zjednoczone
9_A	Patricia	Arquette	1968-04-08	Stany Zjednoczone
90_A	Jose	Ferrer	1912-01-08	Portoryko
91_A	Sally	Field	1946-10-06	Stany Zjednoczone
92_A	Peter	Finch	1916-09-28	Wielkia Brytania
93_A	Colin	Firth	1960-09-10	Wielkia Brytania
94_A	Barry	Fitzgerald	1888-03-10	Irlandia
95_A	Louise	Fletcher	1934-07-22	Stany Zjednoczone
96_A	Henry	Fonda	1905-05-16	Stany Zjednoczone
97_A	Jane	Fonda	1937-12-21	Stany Zjednoczone
98_A	Joan	Fontaine	1917-11-22	Japonia
99_A	Jodie	Foster	1962-10-19	Stany Zjednoczone
